clip_id,group_id,audio_out,gender,ethnicity,age_group,avg_trait,extraversion,neuroticism,agreeableness,conscientiousness,openness,split_official,split_strict
-10-QQDO_ME.001,-10-QQDO_ME,output/preprocessing/preprocessed_full/-10-QQDO_ME.001.wav,2,2,5,0.5434979696326215,0.5327102803738318,0.4166666666666667,0.5494505494505494,0.5631067961165048,0.6555555555555556,test,test
-10-QQDO_ME.002,-10-QQDO_ME,output/preprocessing/preprocessed_full/-10-QQDO_ME.002.wav,2,2,5,0.6038197500132669,0.5794392523364487,0.53125,0.6703296703296703,0.5825242718446602,0.6555555555555556,test,test
-10-QQDO_ME.005,-10-QQDO_ME,output/preprocessing/preprocessed_full/-10-QQDO_ME.005.wav,2,2,5,0.5692521897921817,0.5327102803738318,0.5520833333333334,0.5164835164835165,0.6116504854368932,0.6333333333333333,test,test
-IK--4uz5ZY.000,-IK--4uz5ZY,output/preprocessing/preprocessed_full/-IK--4uz5ZY.000.wav,2,2,5,0.6029670792212758,0.5794392523364487,0.5625,0.6043956043956044,0.6796116504854369,0.5888888888888889,train,test
-IK--4uz5ZY.002,-IK--4uz5ZY,output/preprocessing/preprocessed_full/-IK--4uz5ZY.002.wav,2,2,5,0.5863612220658995,0.5420560747663552,0.6354166666666666,0.5274725274725275,0.6601941747572816,0.5666666666666667,train,test
-IK--4uz5ZY.003,-IK--4uz5ZY,output/preprocessing/preprocessed_full/-IK--4uz5ZY.003.wav,2,2,5,0.685975693783175,0.6448598130841123,0.6770833333333334,0.7032967032967032,0.6601941747572816,0.7444444444444444,train,test
-IK--4uz5ZY.004,-IK--4uz5ZY,output/preprocessing/preprocessed_full/-IK--4uz5ZY.004.wav,2,2,5,0.7344862262897152,0.7476635514018694,0.6770833333333334,0.7472527472527474,0.6893203883495147,0.811111111111111,train,test
-KtFfRqPFXA.003,-KtFfRqPFXA,output/preprocessing/preprocessed_full/-KtFfRqPFXA.003.wav,1,2,5,0.6259474244086575,0.5607476635514019,0.6354166666666666,0.6483516483516484,0.6407766990291262,0.6444444444444444,test,test
-R2SZu3SYgM.000,-R2SZu3SYgM,output/preprocessing/preprocessed_full/-R2SZu3SYgM.000.wav,2,2,6,0.27214409298975123,0.2242990654205607,0.1666666666666666,0.1978021978021978,0.1941747572815534,0.5777777777777777,train,test
-R2SZu3SYgM.001,-R2SZu3SYgM,output/preprocessing/preprocessed_full/-R2SZu3SYgM.001.wav,2,2,5,0.24251828330507666,0.1775700934579439,0.2187499999999999,0.2637362637362637,0.174757281553398,0.3777777777777778,test,test
